,0,1
0,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0555_0/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0555_0/CT_IMAGE.nrrd
1,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0555_0/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0555_0/CT_IMAGE.nrrd
2,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0346_0/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0346_0/CT_IMAGE.nrrd
3,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0346_0/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0346_0/CT_IMAGE.nrrd
4,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0198_2/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0198_2/CT_IMAGE.nrrd
5,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0198_2/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0198_2/CT_IMAGE.nrrd
6,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0407_0/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0407_0/CT_IMAGE.nrrd
7,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0407_0/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0407_0/CT_IMAGE.nrrd
8,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0497_0/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0497_0/CT_IMAGE.nrrd
9,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0497_0/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0497_0/CT_IMAGE.nrrd
10,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0366_0/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0366_0/CT_IMAGE.nrrd
11,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0366_0/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0366_0/CT_IMAGE.nrrd
12,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0122_2/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0122_2/CT_IMAGE.nrrd
13,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0122_2/CT_IMAGE.nrrd,/cluster/projects/radiomics/ProcessedDatasets/HeadNeck/TCIA_HNSCC/HNSCC-01-0122_2/CT_IMAGE.nrrd
